descripcion,titular
N/A,"Alfaro Moreno: ‘Aún no termino de asimilar el título, con el paso del tiempo lo disfrutaré’"
N/A,Doce de los 16 entrenadores de la Serie A 2021 serán extranjeros
N/A,"'No hay oferta formal de Barcelona SC por Fernando Gaibor', afirma el entorno del jugador"
N/A,"En Caracas, Venezuela y Ecuador jugarán sin público en marzo por la eliminatoria"
El líder de la Premier League -por diferencia de gol- se desplaza a Birmingham en busca de la victoria en la Copa inglesa.,Liverpool se enfrenta a Aston Villa en la tercera ronda de la FA Cup que se inicia el viernes
"El piloto ecuatoriano, apartado en su categoría, vuelve a sufrir tras avería de vehículo del martes, según primeros resultados.",Nueva penalización a Sebastián Guayasamín
"(VIDEO) Conmebol publicó las conversaciones entre Roberto Tobar, árbitro principal del partido, y la Sala VAR, comandada por el paraguayo Juan...",La polémica en Boca Juniors vs. Santos FC: ¿fue penal en contra de Marinho?
"Así lo dijo el luso en su primera rueda de prensa tras incorporarse al equipo de Sangolquí, al que llega desde el Benfica de su país.",Portugués Renato Paiva anticipa cómo será el estilo de juego de Independiente del Valle para ser campeón nacional 
"En coches, el sudafricano Giniel de Villiers puso fin a una serie de tres victorias consecutivas de Nasser Al-Attiyah.","Rally Dakar 2021: Kevin Benavides líder en motos, Giniel de Villiers perdió su buena racha en coches y más accidente en la quinta jornada"
"León se presentará con la notable baja del peruano Pedro Aquino, que se marchó al América, y con la incorporación del chileno Víctor Dávila.","Liga MX: León, de Ángel Mena, inicia defensa del título visitando a Tigres"
"El ducho zaguero no encontró buen puerto en Perú, donde apuntaba a defender a Alianza Lima, pero el club descendió.","Achilier, 'dispuesto a volver' a Ecuador, tiene 'una posibilidad con Orense'"
Tiene 17 años y juega en el Saint-Étienne.,"Lucas Gourna-Douath, el nuevo Paul Pogba, realizó un partido colosal ante PSG"
"Una portavoz de la fiscalía señaló a Efe que la acusación contra Benzema es un delito, y no un crimen, según el Código Penal francés.","Luego de 5 años, Karim Benzema será juzgado por el caso de chantaje a Mathieu Valbuena con video de contenido sexual"
Tutto Mercado Web asegura que el joven volante ecuatoriano le ha dicho no al Atlanta United y al Inter de Miami.,Caicedo rechaza a dos clubes de la MLS por esperar al United
El reglamento de F1 señala que los test deben realizarse con un mínimo de 10 días antes del inicio del campeonato. Si se suspende el GP de Australia...,Los test de pretemporada de Fórmula 1 en Barcelona corren peligro por la pandemia
Cinco jugadores de la primera plantilla del Real Madrid han dado positivo por coronavirus desde que se reanudara la competición tras el confinamiento.,En el Real Madrid aíslan a Zinedine Zidane por contacto con persona contagiada de COVID-19
"Piedra, de 27 años y nacido en Loja, se suma al equipo del puerto de Manabí luego de dos temporadas en Independiente del Valle.","El arquero Hamilton Piedra, primer refuerzo del Manta FC"
"Movimientos, cesiones, traspasos, la última hora de la ventana de transferencias en Ecuador.",Mercado de fichajes en Ecuador: lo más destacado de hoy 7 de enero de 2021
"El Villarreal, en el que milita Pervis Estupiñán, busca la victoria para no alejarse de la pelea por los cupos de Champions League.","Celta vs. Villarreal: fecha, horarios, canales de TV para ver en vivo"
"Como fuera en 2020, el equipo del DT Fabián Bustos se preparará para la campaña en el puerto manabita.","Manta, sede de la pretemporada de toreros por segundo año consecutivo"
El manabita de 31 años cumplió un destacado rol en la recta final del torneo 2020 jugando para Guayaquil City.,Emelec ficha a Ángel Gracia para oxigenar el puesto de lateral izquierdo
Año nuevo y Pelé sigue siendo tendencia en el mundo entero.,Pelé: Me acusan de eclipsar a grandes estrellas como Messi y Cristiano Ronaldo
El club de Anfield está echando el resto por los dos jugadores que en España se consideran estratégicos en 2021.,Liverpool es rival directo de Real Madrid en el mercado de fichajes; va por Mbappé y Alaba
El cuadro parisino tuvo el partido cuesta arriba a los 19 minutos cuando se adelantó el Saint Etienne. El 1-1 lo firmó Moise Kean.,Pochettino se estrena en PSG con empate y en su primer once contó con Mbappé
"El piloto indio fue trasladado al hospital de Riad. Se encuentra estable, aunque en coma inducido, explicó el Hero Team.",Drama en el Rally Dakar: Santosh Chunchunguppe en coma inducido tras accidente en la cuarta etapa
Fue un partido de desarrollo discreto y con pocas emociones.,Boca Juniors y Santos FC empatan sin goles en la Bombonera y queda todo abierto para la semifinal de vuelta
"Los angelinos tenían el partido setenciado, pero varias pérdidas dieron opciones a unos bravos Grizzlies. Cayeron los Clippers y Trail Blazers.",LeBron James carbura y los Lakers ya son líderes del Oeste
La base del plantel este año se integrará con catorce de los jugadores que actuaron el 2020.,El Nacional inicia su periplo en la Serie B de la LigaPro
Los colchoneros son los punteros de LaLiga pero por segundo año consecutivo un equipo de bajo presupuesto lo elimina de la Copa.,Atlético de Madrid queda eliminado de la Copa del Rey por un equipo de Segunda B
"El presidente del flamante campeón nacional asegura que hay varios equipos interesados en el joven lateral, según indica su representante.","Byron Castillo se queda en Barcelona SC, porque tiene 2 años más de contrato, afirma Alfaro Moreno"
"Erazo es recordado por la anotación de cabeza del 8 de octubre del 2015 contra Argentina, en la victoria 2-0 de la Tricolor, la primera en la...",Selección de Ecuador no es un capítulo cerrado para Frickson Erazo
El Cayambe es la primera de seis montañas que el capitalino tiene previsto ascender hasta noviembre de 2022.,Karl Egloff impone récord de 'speed climbing' en el Cayambe
El tenista ecuatoriano venció al croata Viktor Galović en la última ronda de qualy para acceder a un ATP 250.,Roberto Quiroz se clasificó al cuadro principal del ATP 250 Delray Beach
(VIDEO) Las informaciones se suceden y el ariete sigue sin conquistar grandes títulos vistiendo la camiseta de los Spurs.,"“No ganarás nada en el Tottenham, ve al Real Madrid”, el consejo que le dieron a Harry Kane"
